program_name,state,city,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links
JEA - Commercial Energy Efficiency Rebate Program,Florida,,Tax Credits,"Commercial, Industrial, Multifamily Residential","JEA offers a variety of rebates to commercial customers for purchasing and installing energy-efficient equipment in eligible facilities. Some incentives are awarded on a flat rebate amount while others are calculated based on capacity, efficiency, or energy savings. All equipment must meet or exceed the stated program efficiency requirements. Measures not covered by a prescribed incentive may be eligible for the custom incentive amount.","Applicable Sectors: Commercial, Industrial, Multifamily Residential; Equipment Requirements: See program web site for full details Incentives This program has 12 Incentives; Eligible Efficiency Technologies: Water Heaters, Lighting, Lighting Controls/Sensors, Chillers, Heat pumps, Air conditioners, Windows, Roofs, Custom/Others pending approval, Commercial Refrigeration Equipment, HVAC Eligible Electric Vehicle Technologies: Level-2 Electric Vehicle Service Equipment, Direct Current Fast Charging Equipment","Electric Measures Level 2 Charger: $850 DCFC: $3,000 Lighting: $0.12 per watt reduced Lighting Controls: $10 - $20 per control 3-phase unitary air conditioner: $25 - $40 per ton 3-phase unitary heat pump: $25 - $40 per ton Single-phase unitary A/C and heat pump (less than 65,000 BTU/hr): $150 per system All Chillers: ($5 x tons) + ($175 x tons) + (min IPLV - actual IPLV) PTAC and PTHP: $50 per ton HVAC Tune-Up: $50 per system VFDs: $50 per HP Refrigeration: $50 - $75 per unit Cool Roof: $0.10 per square foot Window Film: $0.40 per square foot Heat Pump Water Heater: $250 per unit High-efficiency Electric Storage Water Heater: $30 per unit All Custom: $0.05 per kWh reduced",,2026-04-03,No,https://programs.dsireusa.org/system/program/detail/4608/jea-commercial-energy-efficiency-rebate-program
Residential Energy Conservation Subsidy Exclusion (Corporate),Federal,,Tax Credits,"Residential, Multifamily Residential","According to Section 136 of the U.S. Code, energy conservation subsidies provided (directly or indirectly) to customers by public utilities* are non-taxable. This exclusion does not apply to electricity-generating systems registered as ""qualifying facilities"" under the Public Utility Regulatory Policies Act of 1978 (PURPA).","Applicable Sectors: Residential, Multifamily Residential; Eligible Technologies: Solar Water Heat, Solar Space Heat, Solar Photovoltaics; Eligible Efficiency Technologies: Yes; specific technologies not identified",100% of subsidy,,2026-03-26,No,https://programs.dsireusa.org/system/program/detail/727/residential-energy-conservation-subsidy-exclusion-corporate
Residential Energy Conservation Subsidy Exclusion (Personal),Federal,,Tax Credits,"Residential, Multifamily Residential","According to Section 136 of the U.S. Code, energy conservation subsidies provided (directly or indirectly) to customers by public utilities* are non-taxable. This exclusion does not apply to electricity-generating systems registered as ""qualifying facilities"" under the Public Utility Regulatory Policies Act of 1978 (PURPA).","Applicable Sectors: Residential, Multifamily Residential; Eligible Technologies: Solar Water Heat, Solar Space Heat, Solar Photovoltaics; Eligible Efficiency Technologies: Yes; specific technologies not identified",100% of subsidy,,2026-03-26,No,https://programs.dsireusa.org/system/program/detail/666/residential-energy-conservation-subsidy-exclusion-personal
City of Tallahassee Utilities - Grant Programs,Florida,,Tax Credits,"Residential, Low Income Residential",The City of Tallahassee Utilities offers several grant programs for its customers. These programs include: Ceiling Insulation Grants Code Enforcement Rehabilitation Grants Energy-Efficiency Retrofit Grants The City of Tallahassee has also received funding from the State of Florida to fund the entire cost of connecting residents to the city sewer system (rather than reliance on septic tanks).,"Applicable Sectors: Residential, Low Income Residential; Eligible Efficiency Technologies: Water Heaters, Duct/Air sealing, Building Insulation, Windows, Comprehensive Measures/Whole Building, HVAC",Ceiling Insulation Grant: The City will pay 80% of the installed cost up to a maximum contribution of $400 (or 100% of the installed cost up to $500 maximum contribution for those who qualify by income).,,2026-03-16,No,https://programs.dsireusa.org/system/program/detail/1774/city-of-tallahassee-utilities-grant-programs
City of Tallahassee Utilities - Solar Loans,Florida,,Tax Credits,"Residential Maximum Loan: Solar PV or ENERGY STAR roofing: $20,000 Other Measures: varies Loan Term: Repayment: up to 7 years for general measures; 10 years for PV Minimum loan amount: $500","The City of Tallahassee Utilities offers loans with an interest rate of 5% for a variety of energy-saving measures, including photovoltaic (PV) systems and solar water-heating systems. Under this program, customers may borrow up to $20,000 for PV systems. Various other systems can qualify for loans. Loan payments are to be made on monthly utility bills. Customers must first get a vendor price or a contractor's proposal and send it to the utility Energy Services. A city energy audit is required for all solar technology installations.","Applicable Sectors: Residential Maximum Loan: Solar PV or ENERGY STAR roofing: $20,000 Other Measures: varies Loan Term: Repayment: up to 7 years for general measures; 10 years for PV Minimum loan amount: $500; Eligible Technologies: Solar Water Heat, Solar Photovoltaics, Solar Pool Heating",,,2026-01-02,Yes,https://programs.dsireusa.org/system/program/detail/1777/city-of-tallahassee-utilities-solar-loans
Miami-Dade County - Green Building Expedited Plan Review,Florida,,Tax Credits,"Commercial, Industrial, Residential","In an effort to promote environmentally sensitive design and construction, the Miami-Dade County Commissioners passed an ordinance in June 2005 to expedite the permitting process for “green” buildings certified by a recognized environmental rating agency. Commercial, industrial, and residential projects are all eligible as long as they are located in unincorporated Miami-Dade County and the City of West Miami. Additionally, solar water heating and solar photovoltaic projects are included in the ""fast track"" for permitting review. Project must meet the following criteria: 1.","Applicable Sectors: Commercial, Industrial, Residential; Eligible Technologies: Solar Water Heat, Solar Photovoltaics, Wind (All), Biomass, Geothermal Heat Pumps, Daylighting, Hydroelectric (Small); Eligible Efficiency Technologies: Comprehensive Measures/Whole Building",,,2026-01-02,Yes,https://programs.dsireusa.org/system/program/detail/3128/miami-dade-county-green-building-expedited-plan-review
City of Tallahassee Utilities - Efficiency Loans,Florida,,Tax Credits,"Commercial, Residential Maximum Loan: $15,000 $20,000 (for solar, with restrictions) Loan Term: General: up to 7 years Solar/Other: up to 10 years Interest Rate: 5% Incentives This program has 2 Incentives","The City of Tallahassee Utilities offers loans with an interest rate of 5% for more than 25 different energy-saving measures. Under this program, residential and commercial customers may borrow up to $15,000 for varying energy efficiency measures. For Solar Photovoltaics or ENERGY STAR roofing, the maximum loan amount is $20,000 so long as no other loan measures are bundled with these. For detailed information contact the utility.","Applicable Sectors: Commercial, Residential Maximum Loan: $15,000 $20,000 (for solar, with restrictions) Loan Term: General: up to 7 years Solar/Other: up to 10 years Interest Rate: 5% Incentives This program has 2 Incentives; Eligible Technologies: Solar Photovoltaics; Eligible Efficiency Technologies: Refrigerators/Freezers, Water Heaters, Lighting, Furnaces, Heat pumps, Air conditioners, Building Insulation, Windows, Doors, Roofs, Reflective Roofs",,,2026-01-02,Yes,https://programs.dsireusa.org/system/program/detail/4225/city-of-tallahassee-utilities-efficiency-loans
Miami-Dade County - Florida PACE Finance Programs,Florida,,Tax Credits,"Commercial, Industrial, Residential","Note: In 2010, the Federal Housing Finance Agency (FHFA), which has authority over mortgage underwriters Fannie Mae and Freddie Mac, directed these enterprises against purchasing mortgages of homes with a PACE lien due to its senior status above a mortgage. Most residential PACE activity subsided following this directive; however, some residential PACE programs are now operating with loan loss reserve funds, appropriate disclosures, or other protections meant to address FHFA's concerns.","Applicable Sectors: Commercial, Industrial, Residential; Eligible Technologies: Solar - Passive, Solar Water Heat, Solar Space Heat, Solar Thermal Electric, Solar Photovoltaics, Wind (All), Biomass, Hydrogen, Daylighting, Wind (Small); Eligible Efficiency Technologies: Lighting, Lighting Controls/Sensors, Chillers, Furnaces, Boilers, Heat pumps, Air conditioners, Heat recovery, Energy Mgmt. Systems/Building Controls, Duct/Air sealing, Building Insulation, Windows, Custom/Others pending approval, Other EE, Yes; specific technologies not identified",,,2026-01-02,Yes,https://programs.dsireusa.org/system/program/detail/4932/miami-dade-county-florida-pace-finance-programs
Solar and Energy Loan Fund (SELF),Florida,,Tax Credits,"Residential Maximum Loan: $55,000 Loan Term: Solar System Loans: 7.90-8.50% APR with 10 to 15-year loan term Home Improvement Project Loan (not including solar PV): 5-10.5% APR with 3 to 8-year term KIVA Crowdfunded Loans: 5% fixed interest with 3-5 year terms Incentives This program has 1 Incentives","The non-profit Solar and Energy Loan Fund (SELF) provides unsecured personal loans to qualifying Florida Homeowners for: SELF gives qualifying homeowners the ability to secure financing for: Weatherization and insulation Replacement of inefficient air-conditioning systems Solar thermal and solar photovoltaic (PV) systems Roofs, windows, doors, and hurricane shutters disability products and aging in place SELF provides home improvement loans up to $55,000. History In June 2010, St. Lucie County received a grant award through the U.S.","Applicable Sectors: Residential Maximum Loan: $55,000 Loan Term: Solar System Loans: 7.90-8.50% APR with 10 to 15-year loan term Home Improvement Project Loan (not including solar PV): 5-10.5% APR with 3 to 8-year term KIVA Crowdfunded Loans: 5% fixed interest with 3-5 year terms Incentives This program has 1 Incentives; Eligible Technologies: Solar Thermal Electric, Solar Photovoltaics; Eligible Efficiency Technologies: Air conditioners, Caulking/Weather-stripping, Building Insulation, Windows",,,2026-01-02,Yes,https://programs.dsireusa.org/system/program/detail/4977/solar-and-energy-loan-fund-self
City of Lauderhill - Revolving Loan Program,Florida,,Tax Credits,"Residential Maximum Loan: $2,500 Loan Term: no more than 2 years; zero interest Incentives This program has 1 Incentives","The City of Lauderhill offers interest-free loans for EnergyStar appliances through a municipal revolving loan program. Loans from $400 to $2,500 are available to homeowners purchasing new Energy Star-certified appliances from eligible retailers. Tankless water heaters, solar photovoltaic systems, and solar water heating systems are also eligible for the loan program. Loan funds have a one or two-year repayment plan. Eligibility will be determined within 10 business days. Loan funds are made payable directly to the retailer within a week of the time the final loan documents are signed.","Applicable Sectors: Residential Maximum Loan: $2,500 Loan Term: no more than 2 years; zero interest Incentives This program has 1 Incentives; Eligible Technologies: Solar Water Heat, Solar Photovoltaics; Eligible Efficiency Technologies: Clothes Washers, Dishwasher, Refrigerators/Freezers, Air conditioners, Other EE, Tankless Water Heater",,,2026-01-02,Yes,https://programs.dsireusa.org/system/program/detail/5223/city-of-lauderhill-revolving-loan-program
